CategoryName;ItemId
Networking > Network Usage Rules;com.apple.networkusagerules_simrules_item_wifiassistpolicy
Networking > Network Usage Rules;com.apple.networkusagerules_simrules_item_iccids
Networking > Network Usage Rules;com.apple.networkusagerules_applicationrules_item_allowroamingcellulardata
Networking > Network Usage Rules;com.apple.networkusagerules_applicationrules_item_appidentifiermatches
Printing > AirPrint;com.apple.airprint_airprint_item_forcetls
Printing > AirPrint;com.apple.airprint_airprint_item_port
Restrictions;com.apple.applicationaccess_ratingtvshowsfr
Restrictions;com.apple.applicationaccess_ratingtvshowsca
Restrictions;com.apple.applicationaccess_allowappcellulardatamodification
Restrictions;com.apple.applicationaccess_allowenterprisebookmetadatasync
Restrictions;com.apple.applicationaccess_forcepreserveesimonerase
Restrictions;com.apple.applicationaccess_blockedappbundleids
Restrictions;com.apple.applicationaccess_allowspellcheck
Restrictions;com.apple.applicationaccess_allowfilesusbdriveaccess
Restrictions;com.apple.applicationaccess_allowcellularplanmodification
Restrictions;com.apple.applicationaccess_allowsharedstream
Restrictions;com.apple.applicationaccess_forcelimitadtracking
Restrictions;com.apple.applicationaccess_allowchat
Restrictions;com.apple.applicationaccess_allowopenfromunmanagedtomanaged
Restrictions;com.apple.applicationaccess_allowmanagedtowriteunmanagedcontacts
Restrictions;com.apple.applicationaccess_forceauthenticationbeforeautofill
Restrictions;com.apple.applicationaccess_ratingappsie
Restrictions;com.apple.applicationaccess_allowcloudbackup
Restrictions;com.apple.applicationaccess_ratingappsde
Restrictions;com.apple.applicationaccess_ratingappsnz
Restrictions;com.apple.applicationaccess_forceautomaticdateandtime
Restrictions;com.apple.applicationaccess_allowlockscreentodayview
Restrictions;com.apple.applicationaccess_allowexplicitcontent
Restrictions;com.apple.applicationaccess_ratingappsus
Restrictions;com.apple.applicationaccess_allowpairedwatch
Restrictions;com.apple.applicationaccess_allowairprintibeacondiscovery
Restrictions;com.apple.applicationaccess_allowpodcasts
Restrictions;com.apple.applicationaccess_allowunpairedexternalboottorecovery
Restrictions;com.apple.applicationaccess_allowlistedappbundleids
Restrictions;com.apple.applicationaccess_allowvpncreation
Restrictions;com.apple.applicationaccess_allowfindmyfriendsmodification
Restrictions;com.apple.applicationaccess_ratingtvshowsie
Restrictions;com.apple.applicationaccess_allowvideoconferencing
Restrictions;com.apple.applicationaccess_allownfc
Restrictions;com.apple.applicationaccess_allowkeyboardshortcuts
Restrictions;com.apple.applicationaccess_allowlockscreennotificationsview
Restrictions;com.apple.applicationaccess_ratingtvshowsde
Restrictions;com.apple.applicationaccess_allowmanagedappscloudsync
Restrictions;com.apple.applicationaccess_autonomoussingleappmodepermittedappids
Restrictions;com.apple.applicationaccess_forcewifipoweron
Restrictions;com.apple.applicationaccess_ratingappsfr
Restrictions;com.apple.applicationaccess_allowenablingrestrictions
Restrictions;com.apple.applicationaccess_ratingtvshowsau
Restrictions;com.apple.applicationaccess_allowvoicedialing
Restrictions;com.apple.applicationaccess_ratingtvshowsgb
Restrictions;com.apple.applicationaccess_allowassistantusergeneratedcontent
Restrictions;com.apple.applicationaccess_allowpredictivekeyboard
Restrictions;com.apple.applicationaccess_allowphotostream
Restrictions;com.apple.applicationaccess_allownotificationsmodification
Restrictions;com.apple.applicationaccess_allowairprint
Restrictions;com.apple.applicationaccess_forcewifitoallowednetworksonly
Restrictions;com.apple.applicationaccess_ratingtvshowsnz
Restrictions;com.apple.applicationaccess_allowenterprisebookbackup
Restrictions;com.apple.applicationaccess_forceondeviceonlytranslation
Restrictions;com.apple.applicationaccess_ratingmoviesfr
Restrictions;com.apple.applicationaccess_allowiphonewidgetsonmac
Restrictions;com.apple.applicationaccess_ratingmoviesau
Restrictions;com.apple.applicationaccess_forceairplayoutgoingrequestspairingpassword
Restrictions;com.apple.applicationaccess_requiremanagedpasteboard
Restrictions;com.apple.applicationaccess_allowmailprivacyprotection
Restrictions;com.apple.applicationaccess_ratingmoviesjp
Restrictions;com.apple.applicationaccess_allowappclips
Restrictions;com.apple.applicationaccess_allowbookstore
Restrictions;com.apple.applicationaccess_allowshareddevicetemporarysession
Restrictions;com.apple.applicationaccess_allowuiappinstallation
Restrictions;com.apple.applicationaccess_allowfilesnetworkdriveaccess
Restrictions;com.apple.applicationaccess_forceencryptedbackup
Restrictions;com.apple.applicationaccess_safariacceptcookies
Restrictions;com.apple.applicationaccess_allowproximitysetuptonewdevice
Restrictions;com.apple.applicationaccess_allowitunes
Restrictions;com.apple.applicationaccess_ratingmoviesde
Restrictions;com.apple.applicationaccess_allowappremoval
Restrictions;com.apple.applicationaccess_allowenterpriseapptrust
Restrictions;com.apple.applicationaccess_allowlockscreencontrolcenter
Restrictions;com.apple.applicationaccess_allowsafari
Restrictions;com.apple.applicationaccess_allowautocorrection
Restrictions;com.apple.applicationaccess_allowinapppurchases
Restrictions;com.apple.applicationaccess_allowesimmodification
Restrictions;com.apple.applicationaccess_ratingtvshowsus
Restrictions;com.apple.applicationaccess_safariallowjavascript
Restrictions;com.apple.applicationaccess_allowbookstoreerotica
Restrictions;com.apple.applicationaccess_allownews
Restrictions;com.apple.applicationaccess_allowpassbookwhilelocked
